tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userLocation,userTimezone
1500751139729518594,@KSA88JED 35،15✈️✈️✈️  مبايلي,0,0,Twitter for iPhone,2022-03-07 08:32:08+00:00,3232990976,abukhaleed515,💙الصارم 💙,2015-06-01 23:43:50+00:00,,سبحان الله وبحمده,
1500716271482068995,@Salam_Mobile_SA نحن في مخطط ولي العهد رقم 8بمكه حولنا على مبايلي وللاسف الشديد النت والاتصال ظعيف جدا والمخطط يسكنه اكتر من عشرة آلاف ساكن ومنذو فترة طويلة نطالبهم بوضع يخدمنا ولا حياه لمن تنادي كل الشباكت لم تستجيب لنا  هيئة الاتصالات تدخلي في وضعنا كوننا نشترك في خدمه النت ولاتصال بدون خدمه,0,0,Twitter for iPhone,2022-03-07 06:13:35+00:00,1342147248382234624,bWb85zXMZTS8GSV,سعد علي القرني,2020-12-24 16:37:09+00:00,,,
1500596795893817347,مبایلی که رو ویبره اس رو قبل خواب نزارید زیر بالشت,0,3,Twitter for Android,2022-03-06 22:18:50+00:00,1421864937287307267,N53619,Nima m,2021-08-01 16:08:15+00:00,"disintegrating for now. 
Intp, he/him .",in the middle of confusion,
1500584748355309577,اليوم أول مره من خذت مبايلي اليديد أسمع صوت الإشعار لمن يوصل الشرش 20% .,0,0,Twitter for iPhone,2022-03-06 21:30:58+00:00,1166209856,fatooh96,𝙁𝙖𝙩𝙢𝙖,2013-02-10 15:26:21+00:00,#SaveSheikhJarrah Insta@5ll5x,Oman,
1500568626289590277,"@Yaqootapp السلام عليكم ورحمت الله وبركاته
كان عندي شريحه موبايلي 
وحولتها الى ياقوت
مدمجه والان اريد ارجع خطي على مبايلي كيف الطريقه",0,0,Twitter for Android,2022-03-06 20:26:54+00:00,1442239940029399043,e6o0W2McyqMIFKt,عبدالله,2021-09-26 21:29:49+00:00,,,
1500464611170078720,"@ToYouKSA @AlNassrFC السلام عليكم  اخويا  حسابي اشغال تمام ولم يعني من ايا مشكله  احتذف عليا  ولم اقدرت ارجاع  هذه رقمي  لي مسجل في تطبيق  0547970828 مبايلي  وهذه 
وهذه رقمي سوا0508814348",0,0,Twitter for Android,2022-03-06 13:33:35+00:00,1341987955435569153,I61LlEHWunTuyD8,امجد,2020-12-24 06:05:32+00:00,,,
1500371057995300864,RT @AL_AJDL: مبايلي 7020 وفق الشارت https://t.co/QjO4f0DnaT,10,0,Twitter for iPhone,2022-03-06 07:21:50+00:00,1024029225341337600,AbuAyedh4,ابو عائض,2018-07-30 20:29:27+00:00,رَبِّ أَوْزِعْنِي أَنْ أَشْكُرَ نِعْمَتَكَ الَّتِي أَنْعَمْتَ عَلَيَّ وَعَلَىٰ وَالِدَيَّ وَأَنْ أَعْمَلَ صَالِحًا تَرْضَاهُ وَأَصْلِحْ لِي فِي ذُرِّيَّتِي,,
1500266400337776643,"لي صديقة سعوديه سمراء عشقتها روحي وبكل معنى الكلمة ...
فقدت التواصل معها لانه مبايلي سرق مني منذو حوالي ٣ أشهر...
اشتقت لها كثييييييييرررررررراااااا😍😍😍😍💐💐💐💐😘😘😘😘 https://t.co/VMC7NjovF9",0,1,Twitter for Android,2022-03-06 00:25:58+00:00,1486480756687966213,Ahmad50000050,Ahmad,2022-01-26 23:27:01+00:00,"رجال أربعيني فحل 
أعشق العلاقه الحميمة مع الصبايا والعائلات المتحررة
أقيم لوحدي 
استقبل الزوجة المحرومة والممحونة مع زوجها
والصبية المشتهية بكل ود واحترام وسري",ألمانيا - دوسلدورف ,
1500201801865383936,@vuiilir لا مبايلي ههههههههههههههههههههههههههههههههههههههههههههههههههههههه,0,0,Twitter for iPhone,2022-03-05 20:09:16+00:00,1484612314242428934,_om2a,سـكـيز ~🎻,2022-01-21 19:42:45+00:00,لاتيأس‌ ولكَ‌ رب‌ يقوُل‌ ورحمتِي‌ وسِعَت‌ كُل‌ شيء,انت في عالمي.,
1500187006403547139,RT @AL_AJDL: مبايلي 7020 وفق الشارت https://t.co/QjO4f0DnaT,10,0,Twitter for iPhone,2022-03-05 19:10:29+00:00,1493521397636907011,fantom0044,Badr M,2022-02-15 09:44:25+00:00,,,
1500180934297100292,@kk__ll00 نفس الشي عندي لأني اكره ببجي رغم ما منزلتها مبايلي,0,0,Twitter for Android,2022-03-05 18:46:21+00:00,1217501213069074433,eagarhe_2_2,فاطمة الشمرية العراقية🇮🇶,2020-01-15 17:38:34+00:00,"الفتاة المحترمة ليس التي لاتكلم رجال ابد ونما هي عندما تجلس مع الف رجل لااحد يستطيع أن يتعدى حدوده معها.
https://t.co/J4hF4zEqdC",العراق 🇮🇶وطني  ,
1500111208736866313,RT @AL_AJDL: مبايلي 7020 وفق الشارت https://t.co/QjO4f0DnaT,10,0,Twitter for Android,2022-03-05 14:09:17+00:00,1974998966,dmashm,مشعل عبدالله,2013-10-20 12:38:50+00:00,,,
1500085315163336707,@Rayoomi4 ادمان مو حلو هذا انا من كنت اطلع مع زوجي قبل اخلي مبايلي بالبيت بس مبايله هو ياخذه وياه اخاف نحتاج شي,0,0,Twitter for Android,2022-03-05 12:26:24+00:00,1479733499749875714,poiuyuyhj,أم علي,2022-01-08 08:35:52+00:00,رحمتك يااارب 🤲 ⠀⠀ ⠀ ⠀,ㅤㅤㅤ ㅤㅤ,
1500074840002342913,RT @AL_AJDL: مبايلي 7020 وفق الشارت https://t.co/QjO4f0DnaT,10,0,Twitter for Android,2022-03-05 11:44:46+00:00,1019445488,ali13915,علي عبدالعزيز الزبيدي,2012-12-18 10:05:47+00:00,,,
1500048148886077440,Ruba حول مبايلي انا فتحت خط مبايلي وصار احسن مما يكون واشتركت في باغه ب١٨٠ ولي تغريباً ٨ ايام ولم ينقص من القيقات الا ٤ قيقا STC الشهر الي فات راح ٤٠ قيقا في خلال ١٢ يوم وتقفل اليوتيوب STC يحاولون يسرقون ويضغطون على عملائم علشان يزودون الباغه الشهريه فلا توجع راسك,0,0,Twitter for iPhone,2022-03-05 09:58:42+00:00,1223700189237710849,5Cz7FboKzHx2DMw,تركي القحطاني,2020-02-01 20:10:59+00:00,,المملكة العربية السعودية,
